root,cell,n,captured_count,captured_percent,captured_wilson_lo,captured_wilson_hi,crash_count,crash_percent,crash_wilson_lo,crash_wilson_hi,timeout_count,timeout_percent,timeout_wilson_lo,timeout_wilson_hi
L1_width_s523,ep25000_d205_stopcap_w0p8,2049,405,19.765739385065885,18.098698741470166,21.54593408313313,147,7.174231332357247,6.135168496677491,8.373572913474883,1497,73.06002928257686,71.09724247657448,74.9365121487281
L1_width_s523,ep25000_d205_stopcap_w1p0,2051,232,11.311555338859094,10.0125000945828,12.755264143987496,69,3.364212579229644,2.6669407329971255,4.2358525804149565,1750,85.32423208191126,83.72675562884413,86.78963354463518
L1_width_s523,ep25000_d205_stopcap_w1p2,2050,199,9.707317073170731,8.500078797414574,11.065280402775569,74,3.6097560975609753,2.8851556565309555,4.5078910739543065,1777,86.6829268292683,85.14332923445225,88.08530258329232
L1b_width_adaptive_s523,ep25000_d070_arc_open0p3,2049,1908,93.1185944363104,91.9399055055107,94.13590869862651,92,4.489995119570523,3.675304700783235,5.475010245048204,49,2.3914104441190824,1.8136136383204118,3.1473860717692066
L1b_width_adaptive_s523,ep25000_d070_arc_open0p6,2049,1922,93.80185456320156,92.67361861348226,94.76615869066389,77,3.7579306979014153,3.017251554698635,4.671674355408913,50,2.440214738897023,1.8558537831074768,3.202571862697067
L1b_width_adaptive_s523,ep25000_d070_arc_open1p0,2049,1918,93.6066373840898,92.46364513044003,94.5864284308464,78,3.806734992679356,3.0608870678886784,4.725464777933796,53,2.5866276232308443,1.9829757288704446,3.3677277240788777
L1b_width_adaptive_s523,ep25000_d070_arc_w1p6,2049,1949,95.11957052220595,94.09928277838213,95.97099479006701,43,2.09858467545144,1.5617243593693433,2.814719736430719,57,2.781844802342606,2.153342763230898,3.587064432578129
L1b_width_adaptive_s523,ep25000_d070_arc_w2p0,2049,1924,93.89946315275745,92.77871361183303,94.85591556374298,47,2.2938018545632017,1.7293460000911893,3.0368018385685764,78,3.806734992679356,3.0608870678886784,4.725464777933796
L1b_width_adaptive_s523,ep25000_d070_arc_w3p0,2052,1909,93.03118908382066,91.84720563617057,94.05435999394581,62,3.0214424951267054,2.3640928132200734,3.8543564875362533,81,3.9473684210526314,3.18732453969005,4.879516320491206
L1b_width_adaptive_s523,ep25000_d205_arc_open0p3,2049,1697,82.82088823816495,81.12661403780932,84.39232773047847,295,14.397266959492436,12.943791381919265,15.98398851404216,57,2.781844802342606,2.153342763230898,3.587064432578129
L1b_width_adaptive_s523,ep25000_d205_arc_open0p6,2050,1698,82.82926829268293,81.13572105269861,84.40000928419246,306,14.926829268292682,13.449884470607504,16.534974203650016,46,2.24390243902439,1.6864977395587348,2.9799509977126335
L1b_width_adaptive_s523,ep25000_d205_arc_open1p0,2051,1697,82.74012676743052,81.04383524884511,84.31400509620852,295,14.383227693807898,12.931068992493195,15.96855517420574,59,2.8766455387615797,2.2366818483119144,3.6928003653972086
L1b_width_adaptive_s523,ep25000_d205_arc_w1p6,2050,1806,88.09756097560975,86.62405232688208,89.42855598383403,171,8.341463414634147,7.221007232490641,9.61775397448561,73,3.560975609756097,2.8416927815525836,4.453975449175039
L1b_width_adaptive_s523,ep25000_d205_arc_w2p0,2049,1731,84.48023426061494,82.8480272588202,85.98339632377507,205,10.004880429477794,8.779533740004702,11.379911941613384,113,5.514885309907272,4.607165343682044,6.589094252162841
L1b_width_adaptive_s523,ep25000_d205_arc_w3p0,2049,1649,80.47828208882382,78.7056767129565,82.13682014101481,248,12.103465104929235,10.761651075236971,13.587109842122933,152,7.41825280624695,6.36147585303049,8.634395235696513
